x_error,y_error,heading_error,velocity,steering,parked
14.0,1.25,0.0,1.0,0.0,False
13.9,1.25,0.0,1.0,0.0,False
13.8,1.25,0.0,1.0,0.0,False
13.7,1.25,0.0,1.0,0.0,False
13.6,1.25,0.0,1.0,0.0,False
13.5,1.25,0.0,1.0,0.0,False
13.399999999999999,1.25,0.0,1.0,0.0,False
13.299999999999999,1.25,0.0,1.0,0.0,False
13.2,1.25,0.0,1.0,0.0,False
13.1,1.25,0.0,1.0,0.0,False
13.0,1.25,0.0,1.0,0.0,False
12.899999999999999,1.25,0.0,1.0,0.0,False
12.8,1.25,0.0,1.0,0.0,False
12.7,1.25,0.0,1.0,0.0,False
12.600000000000001,1.25,0.0,1.0,0.0,False
12.5,1.25,0.0,1.0,0.0,False
12.400000000000002,1.25,0.0,1.0,0.0,False
12.3,1.25,0.0,1.0,0.0,False
12.200000000000003,1.25,0.0,1.0,0.0,False
12.100000000000001,1.25,0.0,1.0,0.0,False
12.000000000000004,1.25,0.0,1.0,0.0,False
11.900000000000002,1.25,0.0,1.0,0.0,False
11.800000000000004,1.25,0.0,1.0,0.0,False
11.700000000000003,1.25,0.0,1.0,0.0,False
11.600000000000005,1.25,0.0,1.0,0.0,False
11.500000000000004,1.25,0.0,1.0,0.0,False
11.400000000000006,1.25,0.0,1.0,0.0,False
11.300000000000004,1.25,0.0,1.0,0.0,False
11.200000000000006,1.25,0.0,1.0,0.0,False
11.100000000000005,1.25,0.0,1.0,0.0,False
11.000000000000007,1.25,0.0,1.0,0.0,False
10.900000000000006,1.25,0.0,1.0,0.0,False
10.800000000000008,1.25,0.0,1.0,0.0,False
10.700000000000006,1.25,0.0,1.0,0.0,False
10.600000000000009,1.25,0.0,1.0,0.0,False
10.500000000000007,1.25,0.0,1.0,0.0,False
10.40000000000001,1.25,0.0,1.0,0.0,False
10.300000000000008,1.25,0.0,1.0,0.0,False
10.20000000000001,1.25,0.0,1.0,0.0,False
10.100000000000009,1.25,0.0,1.0,0.0,False
10.00000000000001,1.25,0.0,1.0,0.0,False
9.90000000000001,1.25,0.0,1.0,0.0,False
9.800000000000011,1.25,0.0,1.0,0.0,False
9.70000000000001,1.25,0.0,1.0,0.0,False
9.600000000000012,1.25,0.0,1.0,0.0,False
9.50000000000001,1.25,0.0,1.0,0.0,False
9.400000000000013,1.25,0.0,1.0,0.0,False
9.300000000000011,1.25,0.0,1.0,0.0,False
9.200000000000014,1.25,0.0,1.0,0.0,False
9.100000000000012,1.25,0.0,1.0,0.0,False
9.000000000000014,1.25,0.0,1.0,0.0,False
14.0,1.3499999999999996,0.0,1.0,0.0,False
13.9,1.3499999999999996,0.0,1.0,0.0,False
13.8,1.3499999999999996,0.0,1.0,0.0,False
13.7,1.3499999999999996,0.0,1.0,0.0,False
13.6,1.3499999999999996,0.0,1.0,0.0,False
13.5,1.3499999999999996,0.0,1.0,0.0,False
13.399999999999999,1.3499999999999996,0.0,1.0,0.0,False
13.299999999999999,1.3499999999999996,0.0,1.0,0.0,False
13.2,1.3499999999999996,0.0,1.0,0.0,False
13.1,1.3499999999999996,0.0,1.0,0.0,False
13.0,1.3499999999999996,0.0,1.0,0.0,False
12.899999999999999,1.3499999999999996,0.0,1.0,0.0,False
12.8,1.3499999999999996,0.0,1.0,0.0,False
12.7,1.3499999999999996,0.0,1.0,0.0,False
12.600000000000001,1.3499999999999996,0.0,1.0,0.0,False
12.5,1.3499999999999996,0.0,1.0,0.0,False
12.400000000000002,1.3499999999999996,0.0,1.0,0.0,False
12.3,1.3499999999999996,0.0,1.0,0.0,False
12.200000000000003,1.3499999999999996,0.0,1.0,0.0,False
12.100000000000001,1.3499999999999996,0.0,1.0,0.0,False
12.000000000000004,1.3499999999999996,0.0,1.0,0.0,False
11.900000000000002,1.3499999999999996,0.0,1.0,0.0,False
11.800000000000004,1.3499999999999996,0.0,1.0,0.0,False
11.700000000000003,1.3499999999999996,0.0,1.0,0.0,False
11.600000000000005,1.3499999999999996,0.0,1.0,0.0,False
11.500000000000004,1.3499999999999996,0.0,1.0,0.0,False
11.400000000000006,1.3499999999999996,0.0,1.0,0.0,False
11.300000000000004,1.3499999999999996,0.0,1.0,0.0,False
11.200000000000006,1.3499999999999996,0.0,1.0,0.0,False
11.100000000000005,1.3499999999999996,0.0,1.0,0.0,False
11.000000000000007,1.3499999999999996,0.0,1.0,0.0,False
10.900000000000006,1.3499999999999996,0.0,1.0,0.0,False
10.800000000000008,1.3499999999999996,0.0,1.0,0.0,False
10.700000000000006,1.3499999999999996,0.0,1.0,0.0,False
10.600000000000009,1.3499999999999996,0.0,1.0,0.0,False
10.500000000000007,1.3499999999999996,0.0,1.0,0.0,False
10.40000000000001,1.3499999999999996,0.0,1.0,0.0,False
10.300000000000008,1.3499999999999996,0.0,1.0,0.0,False
10.20000000000001,1.3499999999999996,0.0,1.0,0.0,False
10.100000000000009,1.3499999999999996,0.0,1.0,0.0,False
10.00000000000001,1.3499999999999996,0.0,1.0,0.0,False
